,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
pct_f_6064,0.1385026427351948,-0.21632640969848688,0.095592884243989,-0.04847889876614251,-0.05263011259476739,0.016087534993094503,0.009867666431545356,-0.031199786841839335,0.29451260485398834,-0.024364198797149385,-0.12387143600328981
pct_f_6569,0.15038384930657353,-0.21416432371516073,0.006991620153290494,-0.0785030267349374,-0.0417739887070112,-0.0906327425335398,-0.04214581011122684,-0.01901540476442571,0.0334620045396179,-0.09633176452571093,-0.1238813290433089
pct_f_70plus,0.1896977440374184,-0.09026603512084637,-0.028946647367663544,-0.0774247704274092,-0.04384081440200231,-0.08389958957228577,-0.01452588970430164,0.05394294302058381,-0.20840742044123098,-0.07254034087314253,-0.0515231586743984
emp_men_total,0.10317889514468531,0.2674989832827872,0.09102601445659074,-0.1514586909919678,-0.06891753499099587,0.16465460405892288,-0.023816265867723268,0.1673905933803966,0.04119895465468806,-0.05991427235103396,-0.03778776011220707
emp_men_1529,0.030335811449919495,0.09410839376988958,0.12251647197103971,-0.2419828654283639,0.1937654424018529,0.3300697313865619,-0.30095006730308127,0.11583556467971287,-0.10684179998620144,0.1254203813736173,-0.22950027669401538
emp_men_3049,0.028741300490775508,0.23464084812047004,0.0857639443858701,-0.15312408713255843,-0.2238779347967685,0.0980322981470733,0.10998883927968153,0.30170021057652935,0.07783063053266481,-0.1478691405461659,-0.04823518554160393
emp_men_5064,0.10852687020941608,0.2460658820859981,0.029787137729533036,-0.017823771413640856,-0.14823231299965572,0.03999574800698772,0.15623836066809957,0.17415625333291476,0.11905860607142592,-0.13207290150134932,0.10066907933571247
emp_men_65plus,0.1759587677199426,0.17624870620941585,-0.025410444093930472,0.027276801768191476,0.037114684873557714,0.03301711047678619,0.06485940607639598,0.056519521486073025,0.049787220759815655,-0.01915828162626688,-0.0359274531102153
emp_wmn_total,0.15907853068478237,0.16704627934402524,-0.1180595435020795,-0.02604995146712591,0.027426006967652187,0.1589988222774544,0.010051771177039419,0.21603461300495497,0.07188355165237266,0.15965762076972334,-0.07737807091994954
emp_wmn_1529,-0.10183140652703884,-0.0663463770449645,-0.03699978638253841,-0.23427943022880962,0.043284900708954306,0.32349488141118843,-0.22781588442029216,0.1154203104958407,-0.061635830690292305,0.21314626006077947,-0.12109718365694916
emp_wmn_3049,0.11772642608116038,0.016832041569987993,-0.30858789283297416,0.04715067213405706,-0.028984474251454038,0.16031821054643408,0.00023802875799446927,0.12099797183956387,0.08365990005975919,0.28718082814480184,-0.019867648376761846
emp_wmn_5064,0.17697992825967582,0.15085695757281273,-0.05561428121701946,0.045346351635274576,0.09323409185054052,0.0276893478895993,0.03216981814776272,0.07362483180651536,0.0648032136732448,0.0983286764587516,-0.06216255679672314
emp_wmn_65plus,0.17801453237129683,0.14531460940054972,-0.022358685143627915,0.07387163101244358,0.0991964997170338,-0.020186344925596206,0.06340929916259284,0.12566114652775784,0.050627652572473265,-0.015924343373262498,-0.04267512518036929
