,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12
pct_f_2529,-0.16300491607002832,-0.02457882211925171,0.12587327817218177,0.13364402818995522,0.12727517009764003,0.19221985810836087,0.2168154288762519,-0.14193451305189494,-0.056068481639136636,-0.04181244400102913,0.0661674310217952,0.08040320909993996
pct_f_3034,-0.1759424438173163,0.048634870422365355,0.15184331681849333,0.18662387629723856,0.10665407106070922,-0.05337249655893711,0.05880263439273034,-0.1168796889003948,0.1551307555952216,0.09448509340819596,0.04094814780281337,0.013215915831209004
pct_f_3539,-0.1747955331435129,0.12602846484206479,0.13845434825828892,0.07134009107871324,0.04589389800677704,-0.1884707446454574,-0.1007835874967207,-0.023745364369563062,0.17855595044659006,0.12907450102953083,-0.02150804081899958,-0.09026699224442838
pct_f_4044,-0.16953223936119155,0.15879078900916427,0.06722580039821013,-0.13356396146724736,-0.013079768068134958,-0.15688729906434382,-0.20498829060509136,0.02355806083850329,0.03895528262294585,0.062609792972878,-0.06861067448579644,-0.08571376743449037
pct_f_4549,-0.1564973023883489,0.14431373403163825,0.003119838784783642,-0.26221529488895184,-0.05150063630406629,0.0150963163808427,-0.17893656583329445,0.015104676579748793,-0.03862089425870032,0.025891159641900485,-0.09835082296948346,-0.06694017822094397
pct_f_5054,-0.1388543348760519,0.0721708459048076,-0.0813615847712696,-0.27530509826201693,-0.03974911537513771,0.22038404358127753,-0.11555303748121165,-0.10953240878177083,0.14172261802335678,0.12961267971004573,-0.04279236237974825,-0.09243888483090068
pct_f_5559,0.026768829931215498,-0.04759682238407503,-0.24033814593443115,-0.13233610180681604,0.01908816925776497,0.3283355009395147,-0.04121774816672568,-0.20224706282685612,0.37551947645460415,0.36158942611316924,-0.02353924133339347,-0.1305374036636072
pct_f_6064,0.15539549379251122,-0.16141923566794622,-0.16590756307127386,0.030617232354758918,-0.010993970542090262,0.06429704457505231,-0.04671308677498409,-0.09510117773665232,0.21830393692879296,0.17800218682513436,-0.10532198468991898,-0.15196655999406655
pct_f_6569,0.16923780198470675,-0.19340104956883772,-0.06710131390317968,0.05087201078956383,-0.06810201821104117,-0.06522179279998239,-0.06378096989866634,-0.026450820831399827,0.03594892639181009,0.007067049330468602,-0.13576073297151448,-0.14822573147869864
pct_f_70plus,0.19855643529419403,-0.1216363167705225,0.013047870481132231,0.04442539311289458,-0.09277193711989909,-0.09748832749189484,0.002903416744971751,0.06762947406717695,-0.1357556976331218,-0.13694773868595156,-0.050721541627673256,0.018388281380367175
emp_men_total,0.07950723630781843,0.2807730599697246,-0.037009563639456365,0.21320288762778958,-0.10205201903770776,0.1624812583287119,-0.08041229228620335,0.08904503635628219,0.060418603186282595,-0.08660689898047944,0.022469943853241,-0.09926553116201617
emp_men_1529,0.014997637785100174,0.07009488285176653,-0.0368130153891739,0.3073559265322541,0.17051979448228077,0.24142448233059624,-0.28361216907521275,0.09918444531057549,-0.19202256187612243,0.017545819183733824,0.04266389207858696,-0.20337548415411208
emp_men_3049,0.024661836130317784,0.23626990636641043,-0.05440662119664531,0.12457783283671518,-0.2546871067622642,0.06855556881836596,0.07710708302376375,0.08057009209498482,0.1817814342533259,-0.1736589898439312,-0.007903724425100917,-0.22619648257434063
emp_men_5064,0.06560566164225982,0.24717487815946665,0.01058279197757567,0.09691902044950325,-0.16660428520562612,0.07184504864434074,0.08572634987245475,0.19956092612314863,0.23254758426905944,-0.13634291614842203,-0.13728852230723776,0.0643681956766361
emp_men_65plus,0.17746558179341787,0.19801079484905051,0.06659078980855308,-0.011082009468826896,-0.00535224279857262,0.04504915582284051,0.025421438459646874,-0.007184920485867097,0.04368580914023303,-0.015404750562683301,0.01873605018372823,-0.052635150287220746
emp_wmn_total,0.12143929787895362,0.12598045791618004,0.23778015471160638,0.11566097639491782,-0.0022424249743536856,0.22031349699265276,-0.07302598254988282,0.26675064846441615,0.006525500836575178,0.14844497077861862,0.06691039112243222,-0.07559509814824808
