prov,sgg,dong_norm,median_apt_price_sqm
Gyeongbuk,영주,하망동,125.10785159620362
Gyeongbuk,영주,휴천동,141.39892904953146
Gyeongbuk,영천,교대리,135.0450150050017
Gyeongbuk,영천,교촌동,62.28414762815638
Gyeongbuk,영천,냉천리,78.4510098481055
Gyeongbuk,영천,단포리,108.52247058237177
Gyeongbuk,영천,덕성리,113.28030850807423
Gyeongbuk,영천,망정동,120.03000750187546
Gyeongbuk,영천,문내동,198.88155603046536
Gyeongbuk,영천,문외동,129.8392318176109
Gyeongbuk,영천,봉동,153.23954287465594
Gyeongbuk,영천,성내동,173.44610082999992
Gyeongbuk,영천,야사동,108.8929219600726
Gyeongbuk,영천,언하동,49.16575532290067
Gyeongbuk,영천,완산동,296.822973738011
Gyeongbuk,영천,완전리,71.73840507173841
Gyeongbuk,영천,원제리,65.13026052104208
Gyeongbuk,영천,임포리,66.66666666666667
Gyeongbuk,영천,화룡동,75.09605309116311
Gyeongbuk,예천,남본리,214.7155361050328
Gyeongbuk,예천,노하리,135.4534746760895
Gyeongbuk,예천,대심리,76.27765064836004
Gyeongbuk,예천,동본리,106.27871001263534
Gyeongbuk,예천,백전리,79.49220092351806
Gyeongbuk,예천,산합리,323.05542133628614
Gyeongbuk,예천,서본리,163.06088234186035
Gyeongbuk,예천,청복리,73.85778083132944
Gyeongbuk,울릉,저동리,329.08704883227176
Gyeongbuk,울진,고성리,247.87200605114342
Gyeongbuk,울진,구산리,75.89285714285714
Gyeongbuk,울진,나곡리,122.16402057455173
Gyeongbuk,울진,노음리,249.01166086034715
Gyeongbuk,울진,부구리,95.68761058773094
Gyeongbuk,울진,삼율리,150.18293299228537
Gyeongbuk,울진,연지리,121.78619756427604
Gyeongbuk,울진,읍남리,229.40518512713464
Gyeongbuk,울진,읍내리,191.7517257655319
Gyeongbuk,울진,죽변리,91.45205781671783
Gyeongbuk,울진,평해리,62.558469352627
Gyeongbuk,울진,후정리,150.97708736033192
Gyeongbuk,의성,도동리,140.74074074074073
Gyeongbuk,의성,상리리,127.11155711657467
Gyeongbuk,의성,용기리,96.7551622418879
Gyeongbuk,의성,중리리,197.78294072524986
Gyeongbuk,의성,토매리,93.06024801370894
Gyeongbuk,의성,후죽리,241.90795583368038
Gyeongbuk,청도,고수리,133.79625709204842
Gyeongbuk,청도,범곡리,270.93506154029114
Gyeongbuk,청도,봉기리,60.90133982947625
Gyeongbuk,청도,원정리,75.02131287297527
Gyeongbuk,청도,학산리,123.11947648923969
Gyeongbuk,청송,각산리,289.4887346518015
Gyeongbuk,청송,금곡리,98.53710300917153
Gyeongbuk,청송,덕리,88.13864138565626
Gyeongbuk,청송,월막리,108.7649910691503
Gyeongbuk,청송,이촌리,85.6760374832664
Gyeongbuk,청송,진안리,204.28015564202335
Gyeongbuk,칠곡,관호리,50.60088551549652
Gyeongbuk,칠곡,금암리,266.2262546206747
Gyeongbuk,칠곡,남율리,215.35492374317454
Gyeongbuk,칠곡,동안리,23.9199824917827
Gyeongbuk,칠곡,매원리,112.37449298490593
Gyeongbuk,칠곡,복성리,54.292929292929294
Gyeongbuk,칠곡,석전리,141.69534328595927
Gyeongbuk,칠곡,성곡리,178.79269529385482
Gyeongbuk,칠곡,숭오리,94.73105852484795
Gyeongbuk,칠곡,어로리,40.020010005002504
Gyeongbuk,칠곡,왜관리,222.96785199169744
Gyeongbuk,칠곡,율리,70.86876771719193
Gyeongbuk,칠곡,인평리,92.72510793777687
Gyeongbuk,칠곡,죽전리,155.1616266944734
Gyeongbuk,칠곡,중리,106.23371417117659
Gyeongbuk,포항,괴정리,123.36952172637308
Gyeongbuk,포항,구룡포리,84.50228156160216
Gyeongbuk,포항,구정리,145.95103578154425
Gyeongbuk,포항,남성리,81.29079935952704
Gyeongbuk,포항,눌태리,233.1163453862616
Gyeongbuk,포항,대도동,124.64387464387465
Gyeongbuk,포항,대신동,268.55399519938885
Gyeongbuk,포항,대잠동,303.65444594833167
Gyeongbuk,포항,덕성리,50.04179342727208
Gyeongbuk,포항,도구리,54.6448087431694
Gyeongbuk,포항,동문리,113.98176291793314
Gyeongbuk,포항,동빈1가,248.10174994611071
Gyeongbuk,포항,동빈2가,194.77406704684023
Gyeongbuk,포항,동해면,250.44830246140592
Gyeongbuk,포항,두호동,196.27165671486898
Gyeongbuk,포항,득량동,265.34999328227866
Gyeongbuk,포항,마산리,90.89267174313646
Gyeongbuk,포항,문덕리,142.02646704985963
Gyeongbuk,포항,문충리,58.346169490621264
Gyeongbuk,포항,병포리,98.72611464968153
Gyeongbuk,포항,상도동,196.54998888225725
Gyeongbuk,포항,생지리,149.60537165743904
Gyeongbuk,포항,석리,39.18810289389068
Gyeongbuk,포항,세계리,68.36200448765895
Gyeongbuk,포항,송도동,135.33834586466165
Gyeongbuk,포항,신정리,67.44763933262335
Gyeongbuk,포항,약성리,85.35619323904764
Gyeongbuk,포항,약전리,51.54037437594912
Gyeongbuk,포항,양덕동,340.3203014601978
Gyeongbuk,포항,오천리,249.50657720522037
Gyeongbuk,포항,옥성리,188.50518919441132
Gyeongbuk,포항,용덕리,73.39857742022389
Gyeongbuk,포항,용산리,76.12152378374721
Gyeongbuk,포항,용흥동,166.0581792486162
Gyeongbuk,포항,우현동,213.2954141485958
Gyeongbuk,포항,원리,206.71145414839881
Gyeongbuk,포항,월포리,164.87621402993534
Gyeongbuk,포항,유강리,228.11486541482623
Gyeongbuk,포항,이동,338.94477801980656
Gyeongbuk,포항,이인리,151.0934393638171
Gyeongbuk,포항,인덕동,119.35094112255265
Gyeongbuk,포항,일월동,57.5582842445864
Gyeongbuk,포항,장성동,234.6743295019157
Gyeongbuk,포항,제내리,42.46727930938458
Gyeongbuk,포항,죽도동,226.26098072822097
Gyeongbuk,포항,중성리,58.52027736290128
Gyeongbuk,포항,지곡동,441.64677122239823
Gyeongbuk,포항,창포동,199.09742500663657
Gyeongbuk,포항,청림동,56.742323097463284
Gyeongbuk,포항,초곡리,341.27564127458214
Gyeongbuk,포항,택전리,57.94423916694659
Gyeongbuk,포항,토성리,39.70144513260283
Gyeongbuk,포항,학산동,232.7400631927785
Gyeongbuk,포항,학성리,113.63636363636363
Gyeongbuk,포항,학잠동,207.39762219286658
Gyeongbuk,포항,학천리,190.5063462922812
Gyeongbuk,포항,항구동,238.32225976010642
Gyeongbuk,포항,해도동,149.13564558209004
Gyeongbuk,포항,화진리,101.33465150766189
Gyeongbuk,포항,환호동,280.35045561334994
Gyeongbuk,포항,효자동,467.48476500542614
Gyeonggi,가평,달전리,149.8640947203372
Gyeonggi,가평,대곡리,293.6072428200826
Gyeonggi,가평,선촌리,350.42394546051867
Gyeonggi,가평,읍내리,230.56397502655372
Gyeonggi,가평,청평리,283.38342636324603
Gyeonggi,고양,가좌동,480.835200399404
Gyeonggi,고양,고양동,397.3449923475299
Gyeonggi,고양,관산동,386.3431641646555
Gyeonggi,고양,대화동,650.3946212390283
Gyeonggi,고양,덕이동,533.3313592610707
Gyeonggi,고양,도내동,1040.4855645566658
Gyeonggi,고양,동산동,1047.7139603238093
Gyeonggi,고양,마두동,765.6065959952886
Gyeonggi,고양,백석동,718.2786738566647
Gyeonggi,고양,사리현동,194.70404984423675
Gyeonggi,고양,삼송동,1035.5377735937868
Gyeonggi,고양,성사동,656.4709425834346
Gyeonggi,고양,성석동,342.29420604441475
Gyeonggi,고양,식사동,676.057307534167
Gyeonggi,고양,신원동,986.3177994855365
Gyeonggi,고양,원흥동,988.3469191814605
Gyeonggi,고양,일산동,583.864118895966
Gyeonggi,고양,장항동,827.3309323729492
Gyeonggi,고양,주교동,449.5237000364046
Gyeonggi,고양,주엽동,703.9849533780229
Gyeonggi,고양,중산동,491.2691118723369
