file,size,elec,level,channel,source,leader_side,p_no_fraud,p_nf_lo,p_nf_hi,p_incr,p_incr_lo,p_incr_hi,p_ext,p_ext_lo,p_ext_hi,fraud_share,Ft,Ft_lo,Ft_hi,Fw,Fw_lo,Fw_hi,n_flagged,n_units,rhat,not_converged,M1,M2,M3,D1,D2,D3,mebane_flag,elapsed,completed
21_dong_sameday_real_con,4833,21,dong,sameday,real,con,0.9991,0.9978,1.0,0.0006,0.0,0.0018,0.0002,0.0,0.0009,0.0008,717.7,0.0,3168.0,2416.8,0.0,9781.0,0,3480,1.4326,True,0.0009,0.0009,0.0,0.9769,0.9946,1.0,False,1714.4,True
22_constituency_early_joint_null_con,4630,22,constituency,early,joint_null,con,0.9793,0.9573,0.9954,0.0166,0.0021,0.0366,0.0028,0.0,0.0121,0.0194,44294.7,0.0,176120.0,217379.7,0.0,801293.9,0,246,1.2524,True,0.0117,0.0121,0.0004,1.0,0.9895,1.0,False,238.6,True
22_constituency_early_marginal_null_con,4639,22,constituency,early,marginal_null,con,0.9799,0.9585,0.9948,0.016,0.0027,0.0354,0.0028,0.0,0.0121,0.0188,43650.8,0.0,152815.1,225725.9,0.0,715014.1,1,246,1.1464,True,0.0083,0.0083,0.0003,1.0,0.9969,0.9963,False,239.9,True
22_constituency_early_out_joint_null_con,4638,22,constituency,early_out,joint_null,con,0.9893,0.973,0.9994,0.0067,0.0,0.0211,0.0028,0.0,0.0119,0.0094,1399.4,0.0,6658.0,40666.2,0.0,171142.0,0,246,1.2059,True,0.008,0.0079,0.0003,0.9964,0.9985,0.9972,False,238.3,True
22_constituency_early_out_marginal_null_con,4648,22,constituency,early_out,marginal_null,con,0.9862,0.9608,0.9997,0.0092,0.0,0.0338,0.0029,0.0,0.0123,0.0121,6262.6,0.0,29304.0,86961.4,0.0,368746.1,0,246,2.1643,True,0.0208,0.0205,0.0003,0.9067,0.9988,1.0,False,240.4,True
22_constituency_early_out_real_con,4621,22,constituency,early_out,real,con,0.9912,0.9772,0.9998,0.0047,0.0,0.0165,0.0028,0.0,0.0121,0.0075,2217.8,0.0,10190.0,34451.3,0.0,144357.0,0,246,1.1563,True,0.0045,0.0041,0.0004,0.9972,0.9983,0.9993,False,237.0,True
22_constituency_early_real_con,4612,22,constituency,early,real,con,0.9863,0.9618,0.9984,0.0091,0.0001,0.0322,0.0029,0.0,0.0122,0.012,24996.1,0.0,109392.9,134868.5,0.0,558514.9,0,246,1.8967,True,0.016,0.0162,0.0005,0.9971,0.9998,0.9942,False,239.0,True
22_constituency_early_total_joint_null_con,4646,22,constituency,early_total,joint_null,con,0.9891,0.9731,0.9994,0.0067,0.0,0.0207,0.0028,0.0,0.0119,0.0095,18342.4,0.0,60104.1,62043.3,0.0,197817.0,0,246,1.2462,True,0.0085,0.0082,0.0004,0.9987,0.9979,0.9982,False,238.2,True
22_constituency_early_total_marginal_null_con,4652,22,constituency,early_total,marginal_null,con,0.9913,0.9768,0.9997,0.0047,0.0,0.0167,0.0028,0.0,0.012,0.0075,10733.0,0.0,46229.0,41080.0,0.0,170627.1,0,246,1.1535,True,0.0041,0.0041,0.0001,0.9955,1.0,1.0,False,238.0,True
22_constituency_early_total_real_con,4626,22,constituency,early_total,real,con,0.9924,0.979,0.9998,0.0036,0.0,0.0144,0.0028,0.0,0.0119,0.0064,5274.4,0.0,22731.1,22521.2,0.0,94747.1,0,246,1.1707,True,0.0045,0.0042,0.0003,0.9997,1.0,0.9963,False,239.4,True
22_constituency_sameday_joint_null_con,4633,22,constituency,sameday,joint_null,con,0.9913,0.9765,0.9998,0.0046,0.0,0.0172,0.0028,0.0,0.0124,0.0074,9168.4,0.0,40232.0,33862.2,0.0,142372.1,0,246,1.1709,True,0.0046,0.0045,0.0002,0.9908,0.9944,1.0,False,238.5,True
22_constituency_sameday_marginal_null_con,4641,22,constituency,sameday,marginal_null,con,0.9922,0.979,0.9997,0.0036,0.0,0.0145,0.0028,0.0,0.0118,0.0065,4591.2,0.0,19415.0,16375.8,0.0,67114.0,0,246,1.1692,True,0.0043,0.0042,0.0003,1.0,0.9978,1.0,False,238.8,True
22_constituency_sameday_real_con,4614,22,constituency,sameday,real,con,0.9914,0.977,0.9996,0.0046,0.0,0.0169,0.0027,0.0,0.0119,0.0073,8388.6,0.0,19324.9,33285.6,0.0,71006.0,0,246,1.1657,True,0.0042,0.0043,0.0004,1.0,0.9974,1.0,False,238.0,True
22_constituency_total_joint_null_con,4635,22,constituency,total,joint_null,con,0.8709,0.8104,0.9269,0.1252,0.072,0.1872,0.0027,0.0,0.0117,0.1279,1274843.3,0.0,3939228.6,2658190.0,0.0,8283365.7,7,246,1.964,True,0.0523,0.0521,0.0004,0.8455,0.6303,1.0,False,240.5,True
22_constituency_total_marginal_null_con,4644,22,constituency,total,marginal_null,con,0.8707,0.8122,0.9241,0.1251,0.0745,0.1849,0.0029,0.0,0.0125,0.128,1434691.1,0.0,4504985.2,2837317.6,0.0,9050967.7,6,246,1.6941,True,0.0543,0.0538,0.0005,0.9982,0.9971,0.9976,False,240.8,True
22_constituency_total_real_con,4822,22,constituency,total,real,con,0.8971,0.83,0.9613,0.0988,0.0344,0.164,0.0029,0.0,0.0121,0.1017,1030635.9,0.0,3809254.3,2082251.6,0.0,7676327.4,1,246,2.8699,True,0.0821,0.082,0.0002,0.0,0.0,0.9963,True,240.9,True
22_dong_early_joint_null_con,4834,22,dong,early,joint_null,con,0.9933,0.9808,0.9972,0.0063,0.0025,0.0187,0.0003,0.0,0.0011,0.0065,24154.4,0.0,115681.0,134755.5,0.0,562173.0,0,2739,4.3412,True,0.0116,0.0117,0.0001,0.0,0.0,1.0,True,3975.9,True
