"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-04-01 ~ 2021-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"65","인천광역시 미추홀구 용현동","627-85","0627","0085","해안성신","48.7800","202104","30","14,750","-","4","-","-","1986","매소홀로 23-20","-","-","-","-"
"66","인천광역시 미추홀구 용현동","627-85","0627","0085","해안성신","49.2000","202104","30","14,250","-","4","-","-","1986","매소홀로 23-20","-","-","-","-"
"67","인천광역시 중구 신흥동3가","7-235","0007","0235","신흥아이파크","84.9660","202104","30","25,600","-","5","-","-","2002","인항로 30","-","-","-","-"
"68","광주광역시 광산구 월곡동","614-2","0614","0002","한성2차","84.2400","202104","30","15,000","-","11","-","-","1991","월곡산정로 96-21","-","-","-","-"
"69","부산광역시 동래구 온천동","1218-19","1218","0019","한맥타운","113.6400","202104","30","31,000","-","5","-","-","2003","쇠미로 198","-","-","-","-"
"70","부산광역시 동래구 온천동","1431-10","1431","0010","정심파크빌","84.8800","202104","30","30,000","-","3","-","-","2004","중앙대로1333번길 61","-","-","-","-"
"71","부산광역시 동래구 온천동","138-24","0138","0024","용진스타티스7차","43.9053","202104","30","21,170","-","13","-","-","2019","온천장로107번길 38-1","20210608","-","-","-"
"72","부산광역시 동래구 온천동","1841","1841","0000","두비앙에코힐아파트","59.6946","202104","30","24,000","-","22","-","-","2019","쇠미로121번길 91-1","-","-","-","-"
"73","대전광역시 유성구 덕명동","528","0528","0000","하우스토리네오미아","126.8524","202104","30","52,000","-","14","-","-","2010","덕명로 63","-","-","-","-"
"74","부산광역시 동래구 온천동","1380-19","1380","0019","광명캐슬","77.3327","202104","30","23,450","-","8","-","-","2015","여고북로33번길 29","-","-","-","-"
