,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12
emp_wmn_5064,0.17505305430976864,0.15648574307088936,-0.09619457374156339,-0.025622981503011316,0.012916791243113708,0.06762793052977212,0.040634579427144386,0.08289770704593163,0.04607102042659495,0.015380309752260572,0.07624338565067516,0.04176957503069778
emp_wmn_65plus,0.1774815160984854,0.13990609681909696,-0.05422922203178007,-0.05033247200108707,0.0770142728180237,0.0700881046874093,0.018447325260866326,0.1657064737735183,0.03810107126736309,0.04675892997278588,-0.013585512871453216,-0.04539939731270473
occ_wage_share,-0.18153478964484163,-0.1467794836796529,0.09820919930865199,0.08259792576823283,0.02134251653213244,0.045899826196382686,0.0029331942648541357,0.12367338836037789,0.024674494287027726,0.12830995209193535,-0.0933994891322893,-0.03666391157222589
occ_regular_share,-0.17995044528271217,-0.12105555514792263,0.11213490149441892,0.13929144515389666,-0.04773906340620522,-0.033310592681960946,-0.001772441569882896,0.09518389208157398,0.03751938339567406,0.14422275033698484,-0.06370667674258931,-0.03680974674936003
occ_nonwage_share,0.18150469305762787,0.1468672310601735,-0.0981823114956951,-0.08265060616551394,-0.021206311758580638,-0.045793124043327776,-0.0028105864162423777,-0.12398803279030123,-0.024634474202183412,-0.1284935860776252,0.09321162550963394,0.03669818728875619
job_professional,-0.1574118210853053,-0.13144411152286894,-0.094287994701692,0.13862517652097686,-0.24116195309161154,-0.16623345972138773,0.004030206466559456,0.06797483418483816,-0.00736888177151065,0.08184298514902152,0.026634105037417477,-0.01870776522441632
job_clerical,-0.16839846046527077,-0.1388007630129354,-0.025152902585474198,0.14773076042592592,-0.157807949758577,-0.06516590504892161,-0.007147742453282072,0.08578819195173595,0.0006562481503846544,0.11735893675579051,-0.0052456732269722875,0.0357805325923888
job_service_sales,-0.08588270388325575,-0.2141607379477868,-0.09206777045026888,-0.20678719402815143,0.09074492345485624,0.1762207026715728,-0.057300334283468604,0.1275805519051318,-0.05984284777091839,-0.30899568341731876,0.21496402987090707,-0.2029143924193106
job_skilled_machine,-0.05491476201975092,0.004721451106524132,0.38690112739927546,-0.020568552007732804,0.29777487345689446,0.08851837924523723,-0.0022966153859608697,-0.03969595445392007,0.03990738468995901,0.0983434061362489,-0.08375027897679102,0.10607673355592667
job_simple_labor,0.057434664952607475,-0.06014219219024873,0.005886765718500858,-0.15417003000210316,0.30092873200725706,0.4198832904914061,-0.05721140656668947,0.23246450235066224,0.011717807473458361,0.07168667493811934,-0.2103982607565918,-0.26817538156652926
job_farming,0.18364636057254355,0.1635226645337649,-0.08130209363523472,-0.023994106546666148,-0.029890295828918365,-0.04860452109375046,0.004046413884743644,-0.11650996780493601,-0.018886079177624356,-0.03344673517934816,0.027954321617223346,0.07343784673031017
ind_agriculture,0.18392108819320147,0.16315296526276984,-0.08048270420920225,-0.027759936240666284,-0.027158505210443752,-0.04694448635525509,0.0031275068501048957,-0.11189450488031999,-0.019870249940878944,-0.03281919365478022,0.032039330999546,0.06652643400589572
