,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12
job_service_sales,-0.09061661662050163,-0.2104792241346707,-0.10498122595202285,0.2349691706528021,0.1899647640345583,0.0392405129941155,-0.08181387700350834,0.1775949900722747,0.18039390747678088,-0.1273849547397605,0.1633362714488368,0.07372856986636032
job_skilled_machine,-0.05908390266768973,-0.050955175294683644,0.39617397769147156,0.01511325125132292,0.22439620267530647,-0.15915654837231177,-0.012236499952273421,-0.07871238400243494,-0.05453499506333505,0.0427708358398927,0.010062158201192373,0.3144816793227434
job_simple_labor,0.07769898704349568,-0.025671053728253738,0.022907226910833703,0.2508744104920238,0.4067595088508357,-0.06127806230520009,-0.026755418992750506,0.24162871836510466,0.07549510847884633,-0.004458106965117924,-0.38852495965956296,-0.21576641288880408
job_farming,0.18132569607760204,0.16141553069643214,-0.06974732900812135,0.00755484004491232,-0.041232526074410844,-0.0007714275527488603,-0.0026183023034993887,-0.12344565263792544,0.007532078467841197,-0.04311395158220195,0.06752703773205006,-0.02867839700133295
ind_agriculture,0.18168005578190058,0.16102840620684683,-0.06962741948057843,0.0101324832804354,-0.03890018249917693,-0.0017700277649182505,-0.0036061215997483208,-0.11734343375362263,0.008152808645380136,-0.04019375048744594,0.0623339368732954,-0.028726515681483433
ind_manufacturing,-0.06686679697714684,0.0011430974890187168,0.3964653040187162,-0.09614103675062882,0.07952043098302794,-0.16603023389980237,0.00020898588683073674,-0.18131659549268114,-0.11508337307938361,0.15997119850750963,-0.08317655751112231,0.20277336913856664
ind_construction,-0.08219716400321932,-0.10267096814407575,0.1577700131613997,0.07627952814553546,0.2713945756848497,-0.012799215692609112,0.06350108280085377,0.25202830473745536,0.16904103824646355,-0.2619924832696639,0.43213892011097327,0.10380761380073306
ind_retail_food,-0.134098195427184,-0.18399971933353293,-0.13258186125052251,0.08494503256424095,0.09676771514493572,0.11828680039673145,-0.05797357250823303,0.13381919874817752,0.13253780594010056,-0.035630740201882415,0.22536750687848703,0.04477764738275478
ind_transport_finance,-0.15551870522025177,-0.11589684078063013,-0.11390391985891839,-0.15853871656305352,-0.06274904397103705,0.15815191955771518,6.851530882084103e-05,-0.0012899799625705473,-0.12344597874203857,0.10863309108066872,-0.05179842488991189,-0.028333157028733773
ind_services,-0.1209861045090277,-0.16244705002737372,-0.17080362826672232,0.10676125979193721,-0.10428469538801181,0.012755694486603469,0.021962345824222063,0.32531324746503987,0.022622794876637733,-0.059497461413518714,-0.2699700368942415,-0.24287830366854882
nonp_male_share,0.06272482934845798,-0.07424022587975945,-0.20185383850508073,0.33227478880581607,0.12003020778628654,-0.2011312326443929,0.026863376513369612,0.08561991230951567,-0.13392237803100743,0.41987107304107846,0.05649913135409852,0.13276158387059733
nonp_young_share,-0.08416304603158369,-0.01724660891690729,0.09124173901760745,0.04637086310055112,-0.28674696492790464,-0.32595669999379856,0.2807091885046724,0.2907704426006541,0.07175987769520518,0.2706527657829414,0.19988077747149327,0.16287085707726479
nonp_middle_share,-0.1306898175005848,0.002111707315142576,0.23774860216660446,-0.17183909491550534,0.02894252880656579,-0.05144011347787906,0.013822211215480527,0.09621443586078267,-0.08419987801123904,0.03705054711992438,0.13232072163859226,-0.4171134723087958
log_apt_price,-0.13252302578488356,-0.06371983830537818,-0.06936271961031622,-0.1170091317724449,-0.009322175681776786,0.16399947566300593,-0.0719004517990734,-0.07112579684136983,0.15965015493119708,-0.05878484710592137,0.3253244498725277,-0.07316956738370056
