,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
pct_m_70plus,0.18598835498099217,-0.12783656765773868,-0.09749112613390915,-0.07851429698283277,-0.019097532887509802,-0.11847935324050184,0.01518474281360736,0.07846320342708801,-0.09733473069309072,-0.1370392457736106,0.0683271575261197
pct_f_1824,-0.15063117635970544,0.10384908037637103,0.17914042177237957,0.15204741409789138,0.06250708470496247,0.1370842703138463,-0.04588744390521909,0.049970527468187545,-0.16054418871419257,-0.28657790415678075,0.03574056405702219
pct_f_2529,-0.14926796602260026,0.11759443176366263,0.07986578963281572,-0.1498573443053271,0.10502686177333219,0.30566019666162375,-0.031784760265451906,-0.017745491670759252,-0.18445235757255243,-0.055441319828146464,-0.0030749641617455856
pct_f_3034,-0.15681080196215672,0.16857461309608285,0.004576194753521005,-0.24438662968165067,-0.0012227944701382624,0.10422360975900827,0.005682106559405686,-0.06198642189524621,0.037885224867513966,0.12807395244683775,-0.04749957550116343
pct_f_3539,-0.16352269756025412,0.17831767561144438,0.017442700803530897,-0.14781377797989192,-0.07687423121970265,-0.08275127971362335,0.015419018984200271,-0.061695423851973165,0.22315167831782554,0.11764457523218301,-0.05904979956498847
pct_f_4044,-0.1660732625755827,0.15816813539025815,0.09187360346213962,0.06123635856029615,-0.08420204548733518,-0.1868503633862833,-0.01158412426248448,-0.007383577235205382,0.23592378442583964,-0.06329966875357791,0.00882466612800951
pct_f_4549,-0.15763378913739814,0.11398311411804896,0.16048053061780845,0.22207518971965176,-0.018092105911771808,-0.09491889064997427,-0.06767464064491335,0.021526987398411326,0.16739790993757844,-0.1660514790178312,0.01971284512634398
pct_f_5054,-0.11904118355285519,0.02541180448499556,0.16038542962979724,0.34108197481170677,0.09765642337733256,0.1848188124680002,-0.09560339894799241,-0.028138425754494056,0.17144784118864373,0.030436178512733263,-0.06648473142788146
pct_f_5559,0.06472901701249148,-0.16481142194232107,0.029110478515659597,0.19589790591096945,0.17520081874157953,0.34354893538897935,-0.07539656350074891,-0.09789641239557294,0.3528796593510542,0.15430245520287922,-0.15412273664698642
pct_f_6064,0.15002372613319376,-0.17980890554059076,-0.044559024166923644,-0.017381494896353412,0.07609560899876865,0.1621808119655579,-0.02078591284223185,-0.044103457034486454,0.31675132279440693,-0.06294527337324005,-0.06275475384486935
pct_f_6569,0.17201425416181518,-0.15176238906492917,-0.06887846299281816,-0.076777570233671,0.001955208131875022,0.02258225485493828,-0.03580388285512488,0.018048682088958858,0.1735047785011087,-0.1921089968894295,0.017642758871305342
pct_f_70plus,0.18762763001507388,-0.10545643524955634,-0.08975918511790046,-0.06414016968872836,-0.025681067259242803,-0.151393862515549,-0.012670105122644632,0.08043090271599336,-0.14912895550734806,-0.11709618152170954,0.07384698688979524
emp_men_total,0.04551994511984817,0.2252257459648376,-0.2764394797805818,0.09899076659568087,0.19076755320295763,-0.03660879803827571,0.18466209997518598,-0.02199197417989147,0.028355975316778404,-0.03411613686076394,-0.07565793719665725
emp_men_1529,-0.00038605010218725397,0.14737388582067773,-0.2748944289657998,0.0875203414379271,0.2500035492687879,-0.05871017881086242,0.12400766195143421,-0.28662417270841106,-0.06239899472078298,-0.15177779681373688,0.027330070524764473
emp_men_3049,-0.06466466333661999,0.08248540138550563,-0.2112331161043588,0.0548450551491154,0.17939116177496423,0.008481610771532071,0.31145585337029497,0.30896626836273144,0.19239579012906297,-0.02911513731455581,0.07638391739135232
emp_men_5064,0.0685769109729497,0.19383786290995775,-0.14696746297371685,0.08789660924036038,0.17498110237711828,0.05907459402707214,0.16962470552593087,0.27312518534370017,0.015317992244812862,-0.06178744499346855,-0.27697388601813727
emp_men_65plus,0.1711408684959598,0.19276718261575565,0.00978971950131651,0.02547877417710425,-0.04761162083337322,0.06159444866407302,0.0708786332426197,0.10207669242241134,0.04661323117271096,0.00550761565341402,-0.053444326174193604
emp_wmn_total,0.15545065868542615,0.1663031300757243,0.05682977511729874,0.001231289512972701,0.20305527840142726,-0.07702098157031101,0.19472286041995507,0.018070775162471735,-0.04447248221089181,0.09675092260785485,0.1133630778607922
emp_wmn_1529,-0.08648154186692868,0.012260227689372372,-0.05866664368740806,0.008378949566938102,0.45899066844476594,-0.07409957253054762,0.05462558054024503,-0.15980109773944592,0.01893926360342678,0.006260955973919607,0.3977895822662037
emp_wmn_3049,0.14259980705992065,0.0914140996386485,0.2113920247731752,-0.05195668388204845,0.16237945747074412,-0.021974253872507753,0.11789242430744648,0.007558536941306509,0.015078591870024784,0.08825819871405516,0.4070073716025199
emp_wmn_5064,0.17187589384329574,0.175955764748144,0.05433544355706005,-0.00909764257655949,0.08709121905810954,-0.022059255272314806,0.09700360562198633,0.06349919304252864,-0.019405117297088166,0.08281419663495135,-0.019180370634083357
emp_wmn_65plus,0.16791693042662773,0.16971900697601908,0.06325620498352227,0.009475145763609869,-0.05345991203192898,0.05760747935794201,0.138119844139677,0.08991423819871364,0.0327632015919922,0.0011088088557671388,-0.11173009718110563
occ_wage_share,-0.192266808441179,-0.13760980954079424,-0.08581627994232432,0.008360038782567478,-0.006493000882996244,0.057293726118431004,0.06958079322880407,0.03004712829604028,0.04253519662703502,-0.05104316205890144,0.09658997059444396
occ_regular_share,-0.189906465957238,-0.12404047392909844,-0.14228575865565024,0.005827101538277341,-0.007810086830233102,0.019964414753401123,0.007639479008592953,0.041523841905853426,0.027311466256961296,-0.002426545589164724,0.09966555085737967
